leer
start
S1:3.4364,3.4325,3.4271,3.4433,3.4414,3.4142
S2:0.2105,0.2221,0.2062,0.2223,0.2143,0.2143
S3:12.2066,12.2224,12.2409,12.1828,12.2470,12.2430
S4:0.6578,0.6521,0.6611,0.6630,0.6415,0.6389
S5:0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
S6:1.2306,1.2433,1.2358,1.2430,1.2296,1.2351
S7:19.1750,14.0960,14.1183,14.0210,14.1093,14.1225
S8:15.9648,15.9072,16.1305,15.9374,16.1716,16.0660
S9:0.7836,0.7791,0.7791,0.7760,0.7768,0.8398
S10:1.8036,1.8551,1.9813,2.1569,2.3918,2.4468
S11:5.9174,5.9339,5.8793,5.8943,5.9085,5.8990
S12:1.4986,1.4983,1.4983,1.4848,1.4869,1.5164
S13:8.5052,8.2223,8.5928,8.5914,8.5061,8.8071
S14:0.0715,0.0825,0.0714,0.0715,0.0714,0.0714
S15:11.6113,11.4879,11.3752,11.4993,11.6135,11.4920
S16:1.1069,1.1019,1.1112,1.1023,1.0973,1.0958
end
